CAST_NO,DD#1,DD#2,DD#3,DD#4,DD#5,DD#6,GRADE,SEQNO,P,Mn,S,Mn/S,Mn/S(critical- theoretical),START_TEMP,FINISH_TEMP,CS1,CS2,CS3,CS4,CS5,CS6,Mould cooling water Flowrate #1,Mould cooling water Flowrate #2,Mould cooling water Flowrate #3,Mould cooling water Flowrate #4,Mould cooling water Flowrate #5,Mould cooling water Flowrate #6,Mould Level #1,Mould Level #2,Mould Level #3,Mould Level #4,Mould Level #5,Mould Level #6,MCW Delta Temp #1,MCW Delta Temp #2,MCW Delta Temp #3,MCW Delta Temp #4,MCW Delta Temp #5,MCW Delta Temp #6,Sec  Cooling Zone1 flow rate #1,Sec  Cooling Zone1 flow rate #2,Sec  Cooling Zone1 flow rate #3,Sec  Cooling Zone1 flow rate #4,Sec  Cooling Zone1 flow rate #5,Sec  Cooling Zone1 flow rate #6
M44940,6,15,10,7,15,14,980,S5,0.023,0.712,0.027,26.37037037,23.61991192,1551,1551,2.88,2.87,2.91,2.95,2.85,2.84,2242.53,2280.71,2272.21,2212.87,2292.01,2227.31,58.82,63.03,59.81,56.02,61.71,62.01,7.91,6.17,9.48,7.33,0,0,273.44,0,180.86,0,246.77,0
M44978,2,22,5,12,9,12,980,S10,0.025,0.751,0.028,26.82142857,22.94811947,1555,1544,2.71,2.69,2.78,2.67,2.77,2.51,2251.06,2285.8,2215.46,2215.63,2301.12,2234.95,58.94,63.11,59.94,56,62.14,61.95,7.08,5.39,8.86,6.88,0,0,257.56,316.36,0,0,258.56,318.61
M44990,6,8,4,10,5,3,980,S15,0.019,0.75,0.027,27.77777778,23.61991192,1545,1545,2.9,2.94,2.81,2.68,2.91,2.71,2252.73,2288.9,2216.51,2219.55,2300,2235.83,59.12,62.91,60.13,55.9,61.83,61.79,6.9,5.17,8.32,6.6,0,0,274.88,0,182.71,0,256.93,0
M45018,10,15,2,7,2,6,980,S25,0.025,0.757,0.023,32.91304348,26.82423957,1529,1542,3.09,2.54,2.77,2.58,2.8,3.06,2248.91,2288.55,2218.18,2217.05,2296.76,2234.02,59.11,62.99,60.2,56.07,61.96,61.96,7.52,6.09,9.03,6.96,0,0,293.42,0,186.72,0,258.24,0
M45031,7,8,6,14,0,4,980,S30,0.019,0.857,0.028,30.60714286,22.94811947,1555,1556,2.76,2.71,2.43,2.26,2.63,2.73,2241.4,2282.27,2212.35,2211.57,2304.56,2226.43,59.08,63.2,60.07,55.97,62.52,62.24,7.56,5.38,8.95,3.87,0,0,262.32,281.59,182.83,0,228.98,273.59
M45037,15,17,11,12,8,12,980,M,0.024,0.726,0.021,34.57142857,28.83191546,1573,1563,2.34,2.4,2.34,2.29,2.33,2.38,2238.96,2282.27,2209.86,2205.7,2366.94,2224.54,58.5,62.49,59.59,55.68,61.69,61.56,7.46,0.23,9.42,6.93,0,0,223.75,275.54,185.93,0,223.41,278.64
M45050,7,16,7,10,8,7,980,S5,0,0,0,#DIV/0!,#DIV/0!,1540,1548,2.87,2.88,2.87,2.88,2.86,2.84,2239.93,2279.53,2210.2,2206.49,2380.17,2224.77,58.96,62.94,59.89,55.88,62.18,61.99,7.52,5.73,9.43,6.92,0,0,273.81,0,0,0,270.37,0
M45064,7,12,7,10,9,9,980,S10,0.015,0.719,0.027,26.62962963,23.61991192,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
M45075,4,4,4,5,3,5,976,S14,0.018,1.075,0.026,41.34615385,24.33786233,1539,1539,2.61,2.64,2.53,2.51,2.56,2.61,2234.79,2274.15,2203.54,2203.12,2375.12,2218.93,59.14,63.07,60,56.03,62.01,61.81,6.68,4.58,8.43,6.3,0,0,247.64,311.53,0,0,243.16,307.04
M45087,11,20,7,8,9,10,980,S19,0.022,0.719,0.031,23.19354839,21.1678094,1555,1556,2.87,2.96,2.97,2.96,2.62,3.08,2239.75,2279.87,2203.48,2207.45,2382.55,2223.49,58.94,63.12,60.29,56.15,61.89,62.21,7.92,6.91,9.79,7.16,0,0,274.12,306.24,180.11,0,249.61,312.09
