GROUP,DD,GRADE,SEQNO,P,Mn,S,Mn/S,Mn/S(critical- theoretical),START_TEMP,FINISH_TEMP,CS,Mould cooling water Flowrate,Mould Level,MCW Delta Temp,Sec  Cooling Zone flow rate
1,6,980,S5,0.023,0.712,0.027,26.37037037,23.61991192,1551,1551,2.88,2242.53,58.82,7.91,273.44
1,2,980,S10,0.025,0.751,0.028,26.82142857,22.94811947,1555,1544,2.71,2251.06,58.94,7.08,257.56
1,6,980,S15,0.019,0.750,0.027,27.77777778,23.61991192,1545,1545,2.90,2252.73,59.12,6.90,274.88
1,10,980,S25,0.025,0.757,0.023,32.91304348,26.82423957,1529,1542,3.09,2248.91,59.11,7.52,293.42
1,7,980,S30,0.019,0.857,0.028,30.60714286,22.94811947,1555,1556,2.76,2241.40,59.08,7.56,262.32
1,15,980,M,0.024,0.726,0.021,34.57142857,28.83191546,1573,1563,2.34,2238.96,58.50,7.46,223.75
1,7,980,S5,0.000,0.000,0.000,#DIV/0!,#DIV/0!,1540,1548,2.87,2239.93,58.96,7.52,273.81
1,7,980,S10,0.015,0.719,0.027,26.62962963,23.61991192,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
1,4,976,S14,0.018,1.075,0.026,41.34615385,24.33786233,1539,1539,2.61,2234.79,59.14,6.68,247.64
1,11,980,S19,0.022,0.719,0.031,23.19354839,21.16780940,1555,1556,2.87,2239.75,58.94,7.92,274.12
1,5,980,S23,0.024,0.747,0.028,26.67857143,22.94811947,1500,1530,2.80,2240.76,58.93,7.51,265.61
1,0,980,S25,0.020,0.760,0.028,27.14285714,22.94811947,1552,1552,3.18,2239.90,59.23,7.84,299.86
1,8,980,S29,0.021,0.721,0.017,42.41176471,34.09448306,1545,1545,3.09,2243.29,59.10,7.89,292.64
1,7,980,S5,0.019,0.711,0.026,27.34615385,24.33786233,0,1553,2.94,2242.28,59.10,7.91,277.86
1,8,980,S10,0.020,0.740,0.023,32.17391304,26.82423957,1563,1551,2.74,2240.92,58.86,7.82,261.92
1,11,980,S15,0.020,0.757,0.029,26.10344828,22.31802259,1544,1531,2.50,2242.51,58.95,6.98,239.19
1,10,980,S20,0.012,0.737,0.020,36.85000000,29.96988564,1545,1527,2.44,2243.04,59.09,7.07,231.05
1,10,980,S25,0.023,0.770,0.027,28.51851852,23.61991192,0,1550,2.88,2245.47,58.57,7.22,275.14
1,10,980,S30,0.013,0.724,0.023,31.47826087,26.82423957,1554,1554,2.88,2243.20,59.12,7.59,273.34
1,13,980,M,0.022,0.773,0.014,55.21428571,39.77262916,0,0,2.27,2235.77,58.53,7.35,216.91
1,6,980,M,0.022,0.742,0.021,35.33333333,28.83191546,0,1565,2.27,2229.37,58.53,7.07,217.05
1,7,980,S4,0.025,0.740,0.030,24.66666667,21.72572514,1552,1554,2.88,2233.43,58.85,7.90,273.56
1,13,980,S9,0.017,0.720,0.021,34.28571429,28.83191546,0,0,2.84,2235.08,58.87,7.69,269.88
1,13,980,S14,0.018,0.800,0.029,27.58620690,22.31802259,1553,1550,2.88,2235.88,58.84,7.68,273.86
1,11,980,M,0.027,0.725,0.019,38.15789474,31.21470086,1563,1581,2.31,2239.89,58.60,7.12,219.45
1,11,980,S5,0.015,0.745,0.019,39.21052632,31.21470086,1553,1554,2.72,2241.29,59.07,7.38,258.70
1,8,980,S10,0.043,0.728,0.032,22.75000000,20.64126415,1545,1692,2.31,2239.67,59.14,6.78,218.84
