"","dd","p","mn","s","mn_s","mn_s_t","l_temp","super_heat","s_temp","tt","f_temp","cs","mcwf","mould_level","mcwd_temp","new_var","sczfr","m_f"
"1",6,0.023,0.712,0.027,26.37037037,23.61991192,1508,43,1551,1551,1551,2.88,2242.53,58.82,7.91,"25868517.94",273.44,"94.94444444"
"2",2,0.025,0.751,0.028,26.82142857,22.94811947,1508,47,1555,1555,1544,2.71,2251.06,58.94,7.08,"24700191.94",257.56,"95.04059041"
"3",6,0.019,0.75,0.027,27.77777778,23.61991192,1508,37,1545,1545,1545,2.9,2252.73,59.12,6.9,"22511763.93",274.88,"94.7862069"
"4",10,0.025,0.757,0.023,32.91304348,26.82423957,1508,21,1529,1529,1542,3.09,2248.91,59.11,7.52,"22986916.97",293.42,"94.9579288"
"5",7,0.019,0.857,0.028,30.60714286,22.94811947,1508,47,1555,1555,1556,2.76,2241.4,59.08,7.56,"25785845.22",262.32,"95.04347826"
"6",15,0.024,0.726,0.021,34.57142857,28.83191546,1508,65,1573,1573,1563,2.34,2238.96,58.5,7.46,"29979100.31",223.75,"95.61965812"
"7",4,0.018,1.075,0.026,41.34615385,24.33786233,1510,29,1539,1539,1539,2.61,2234.79,59.14,6.68,"24022708.14",247.64,"94.88122605"
"8",11,0.022,0.719,0.031,23.19354839,21.1678094,1508,47,1555,1555,1556,2.87,2239.75,58.94,7.92,"25959248.78",274.12,"95.51219512"
"9",5,0.024,0.747,0.028,26.67857143,22.94811947,1508,-8,1500,1500,1530,2.8,2240.76,58.93,7.51,"25242161.4",265.61,"94.86071429"
"10",2,0.02,0.76,0.028,27.14285714,22.94811947,1508,44,1552,1552,1552,3.18,2239.9,59.23,7.84,"23193530.57",299.86,"94.29559748"
"11",8,0.021,0.721,0.017,42.41176471,34.09448306,1508,37,1545,1545,1545,3.09,2243.29,59.1,7.89,"24057651.79",292.64,"94.70550162"
"12",7,0.019,0.711,0.026,27.34615385,24.33786233,1508,45,NA,1553,1553,2.94,2242.28,59.1,7.91,"25337764",277.86,"94.51020408"
"13",8,0.02,0.74,0.023,32.17391304,26.82423957,1508,55,1563,1563,1551,2.74,2240.92,58.86,7.82,"26861597.26",261.92,"95.59124088"
"14",11,0.02,0.757,0.029,26.10344828,22.31802259,1508,36,1544,1544,1531,2.5,2242.51,58.95,6.98,"26296569.26",239.19,"95.676"
"15",10,0.012,0.737,0.02,36.85,29.96988564,1508,37,1545,1545,1527,2.44,2243.04,59.09,7.07,"27297061.38",231.05,"94.69262295"
"16",10,0.023,0.77,0.027,28.51851852,23.61991192,1508,47,NA,1555,1550,2.88,2245.47,58.57,7.22,"23642927.88",275.14,"95.53472222"
"17",10,0.013,0.724,0.023,31.47826087,26.82423957,1508,46,1554,1554,1554,2.88,2243.2,59.12,7.59,"24829420",273.34,"94.90972222"
"18",6,0.022,0.742,0.021,35.33333333,28.83191546,1508,48,NA,1556,1565,2.27,2229.37,58.53,7.07,"29162516.64",217.05,"95.61674009"
"19",7,0.025,0.74,0.03,24.66666667,21.72572514,1508,44,1552,1552,1554,2.88,2233.43,58.85,7.9,"25730974.79",273.56,"94.98611111"
"20",13,0.018,0.8,0.029,27.5862069,22.31802259,1508,45,1553,1553,1550,2.88,2235.88,58.84,7.68,"25041856",273.86,"95.09027778"
"21",11,0.027,0.725,0.019,38.15789474,31.21470086,1508,55,1563,1563,1581,2.31,2239.89,58.6,7.12,"28996394.18",219.45,"95"
"22",11,0.015,0.745,0.019,39.21052632,31.21470086,1508,45,1553,1553,1554,2.72,2241.29,59.07,7.38,"25540817.96",258.7,"95.11029412"
"23",8,0.043,0.728,0.032,22.75,20.64126415,1508,37,1545,1545,1692,2.31,2239.67,59.14,6.78,"27609022.91",218.84,"94.73593074"
"24",6,0.02,0.774,0.024,32.25,25.93359266,1508,42,1550,1550,1544,3.15,2235.06,58.94,7.84,"23363827.2",299.64,"95.12380952"
"25",7,0.014,0.74,0.026,28.46153846,24.33786233,1508,47,1555,1555,1555,3.03,2237.22,58.9,7.66,"23754403.25",289.04,"95.39273927"
"26",12,0.021,0.742,0.02,37.1,29.96988564,1508,66,NA,1574,1574,2.21,2235.3,58.48,7.29,"30968513.76",211.06,"95.50226244"
"27",9,0.031,0.842,0.021,40.0952381,28.83191546,1508,40,NA,1548,1548,3.09,2238.96,59.01,7.9,"24041648.16",291.92,"94.47249191"
"28",8,0.029,0.733,0.023,31.86956522,26.82423957,1508,48,NA,1556,1556,2.83,2238.73,58.86,7.67,"25483550.61",270.15,"95.45936396"
