l_temp,dd,p,mn,s,mn_s,mn_s_t,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_f,heat_ext
1508,6,0.023,0.712,0.027,26.37037037,23.61991192,43,1551,2.88,2242.53,58.82,7.91,273.44,94.94444444,25868517.94
1508,2,0.025,0.751,0.028,26.82142857,22.94811947,47,1555,2.71,2251.06,58.94,7.08,257.56,95.04059041,24700191.94
1508,6,0.019,0.75,0.027,27.77777778,23.61991192,37,1545,2.9,2252.73,59.12,6.9,274.88,94.7862069,22511763.93
1508,10,0.025,0.757,0.023,32.91304348,26.82423957,21,1529,3.09,2248.91,59.11,7.52,293.42,94.9579288,22986916.97
1508,7,0.019,0.857,0.028,30.60714286,22.94811947,47,1555,2.76,2241.4,59.08,7.56,262.32,95.04347826,25785845.22
1508,15,0.024,0.726,0.021,34.57142857,28.83191546,65,1573,2.34,2238.96,58.5,7.46,223.75,95.61965812,29979100.31
1510,4,0.018,1.075,0.026,41.34615385,24.33786233,29,1539,2.61,2234.79,59.14,6.68,247.64,94.88122605,24022708.14
1508,11,0.022,0.719,0.031,23.19354839,21.1678094,47,1555,2.87,2239.75,58.94,7.92,274.12,95.51219512,25959248.78
1508,5,0.024,0.747,0.028,26.67857143,22.94811947,-8,1500,2.8,2240.76,58.93,7.51,265.61,94.86071429,25242161.4
1508,8,0.021,0.721,0.017,42.41176471,34.09448306,37,1545,3.09,2243.29,59.1,7.89,292.64,94.70550162,24057651.79
1508,7,0.019,0.711,0.026,27.34615385,24.33786233,45,1553,2.94,2242.28,59.1,7.91,277.86,94.51020408,25337764
1508,8,0.02,0.74,0.023,32.17391304,26.82423957,55,1563,2.74,2240.92,58.86,7.82,261.92,95.59124088,26861597.26
1508,11,0.02,0.757,0.029,26.10344828,22.31802259,36,1544,2.5,2242.51,58.95,6.98,239.19,95.676,26296569.26
1508,10,0.012,0.737,0.02,36.85,29.96988564,37,1545,2.44,2243.04,59.09,7.07,231.05,94.69262295,27297061.38
1508,10,0.023,0.77,0.027,28.51851852,23.61991192,47,1555,2.88,2245.47,58.57,7.22,275.14,95.53472222,23642927.88
1508,10,0.013,0.724,0.023,31.47826087,26.82423957,46,1554,2.88,2243.2,59.12,7.59,273.34,94.90972222,24829420
1508,6,0.022,0.742,0.021,35.33333333,28.83191546,48,1556,2.27,2229.37,58.53,7.07,217.05,95.61674009,29162516.64
1508,7,0.025,0.74,0.03,24.66666667,21.72572514,44,1552,2.88,2233.43,58.85,7.9,273.56,94.98611111,25730974.79
1508,13,0.018,0.8,0.029,27.5862069,22.31802259,45,1553,2.88,2235.88,58.84,7.68,273.86,95.09027778,25041856
1508,11,0.027,0.725,0.019,38.15789474,31.21470086,55,1563,2.31,2239.89,58.6,7.12,219.45,95,28996394.18
1508,11,0.015,0.745,0.019,39.21052632,31.21470086,45,1553,2.72,2241.29,59.07,7.38,258.7,95.11029412,25540817.96
1508,8,0.043,0.728,0.032,22.75,20.64126415,37,1545,2.31,2239.67,59.14,6.78,218.84,94.73593074,27609022.91
1508,6,0.02,0.774,0.024,32.25,25.93359266,42,1550,3.15,2235.06,58.94,7.84,299.64,95.12380952,23363827.2
1508,7,0.014,0.74,0.026,28.46153846,24.33786233,47,1555,3.03,2237.22,58.9,7.66,289.04,95.39273927,23754403.25
1508,12,0.021,0.742,0.02,37.1,29.96988564,66,1574,2.21,2235.3,58.48,7.29,211.06,95.50226244,30968513.76
1508,9,0.031,0.842,0.021,40.0952381,28.83191546,40,1548,3.09,2238.96,59.01,7.9,291.92,94.47249191,24041648.16
1508,8,0.029,0.733,0.023,31.86956522,26.82423957,48,1556,2.83,2238.73,58.86,7.67,270.15,95.45936396,25483550.61
1508,6,0.021,0.755,0.018,41.94444444,32.58285073,57,1565,2.72,2239.5,58.89,7.33,258.91,95.1875,25347517.28
1508,10,0.022,0.77,0.028,27.5,22.94811947,50,1558,2.66,2235.54,58.88,7,253.56,95.32330827,24708600
1508,12,0.019,0.72,0.028,25.71428571,22.94811947,62,1570,2.26,2240.86,58.76,7.48,214.98,95.12389381,31149937.06
1508,8,0.029,1.146,0.027,42.44444444,23.61991192,41,1549,3.09,2237.24,59.14,8.27,292.1,94.53074434,25148315.26
1508,15,0.017,0.754,0.03,25.13333333,21.72572514,47,1555,3.06,2237.71,59.22,7.86,287.89,94.08169935,24140942
1508,11,0.02,0.754,0.025,30.16,25.10710746,57,1565,3.08,2239.17,58.96,7.89,294.04,95.46753247,24091433.59
1510,10,0.016,1.087,0.021,51.76190476,28.83191546,45,1555,3.21,2231.94,59.15,7.81,299.8,93.39563863,22807506.5
1508,15,0.033,0.748,0.014,53.42857143,39.77262916,52,1560,3.33,2238.02,58.89,8.74,299.74,90.01201201,24670642.09
1508,15,0.019,0.73,0.024,30.41666667,25.93359266,47,1555,3.29,2235.68,59.07,8.4,299.91,91.15805471,23974100.43
1508,10,0.022,0.72,0.024,30,25.93359266,64,1572,2.32,2237.77,58.63,7.27,220.43,95.01293103,29451753.96
1508,11,0.018,0.735,0.026,28.26923077,24.33786233,46,1554,2.69,2240.85,58.88,7.56,255.94,95.14498141,26450360.3
1508,15,0.014,0.72,0.02,36,29.96988564,44,1552,3.16,2238.1,58.86,7.83,299.62,94.8164557,23291821.71
1508,13,0.021,0.752,0.018,41.77777778,32.58285073,49,1557,3.03,2238.45,59.24,8.01,285.88,94.34983498,24853443.86
1508,11,0.022,0.734,0.022,33.36363636,27.78715793,52,1560,3.01,2234.92,58.81,8.21,287.7,95.58139535,25602827.72
1508,11,0.017,0.72,0.024,30,25.93359266,42,1550,3.2,2234.46,58.89,7.93,304.82,95.25625,23256538.99
1508,11,0.014,0.772,0.018,42.88888889,32.58285073,48,1556,3.05,2235.05,58.8,8.27,291.66,95.62622951,25453189.08
1508,7,0.017,0.748,0.018,41.55555556,32.58285073,44,1552,2.89,2239.21,59.1,7.74,273.53,94.64705882,25187625.84
1508,11,0.017,0.743,0.023,32.30434783,26.82423957,38,1546,2.51,2234.5,58.92,7.15,238.26,94.92430279,26733878.49
1508,10,0.011,0.749,0.024,31.20833333,25.93359266,39,1547,2.46,2242.13,59.13,6.88,231.78,94.2195122,26336824.59
1508,13,0.016,0.764,0.024,31.83333333,25.93359266,50,1558,2.36,2240.3,59,7.37,224.86,95.27966102,29384002.63
1508,14,0.019,0.722,0.024,30.08333333,25.93359266,55,1563,2.42,2242.76,58.87,7.37,229.97,95.02892562,28686939.27
1508,14,0.023,0.71,0.022,32.27272727,27.78715793,36,1544,2.91,2247.62,58.85,7.14,277.36,95.31271478,23162071.67
1508,10,0.021,0.73,0.024,30.41666667,25.93359266,55,1563,2.93,2245.24,59.02,7.56,279.4,95.35836177,24331351.7
1508,11,0.018,0.78,0.026,30,24.33786233,15,1523,2.97,2242.47,59.07,7.75,272.09,91.61279461,24576565.15
1508,12,0.023,0.738,0.018,41,32.58285073,73,1581,2.42,2243.93,58.54,7.19,231.77,95.77272727,28000908.32
1508,10,0.021,0.706,0.024,29.41666667,25.93359266,44,1552,3.16,2241.64,59.04,7.56,288.18,91.19620253,22524225.72
1508,14,0.013,0.747,0.014,53.35714286,39.77262916,44,1552,2.52,2242.8,58.99,7.53,240.41,95.40079365,28147140
1506,12,0.024,1.03,0.025,41.2,25.10710746,33,1539,2.63,2242.66,59.06,7.15,249.2,94.75285171,25607254.68
1508,7,0.014,0.73,0.022,33.18181818,27.78715793,41,1549,2.55,2244.89,58.92,7.64,243.71,95.57254902,28248639.34
1508,7,0.019,0.72,0.026,27.69230769,24.33786233,35,1543,3.09,2244.84,58.94,7.63,279.2,90.35598706,23280952.31
1506,8,0.025,0.73,0.013,56.15384615,42.18126779,67,1573,2.28,2221.82,58.56,7.39,216.43,94.9254386,30245986.47
1506,7,0.02,1.04,0.024,43.33333333,25.93359266,40,1546,2.99,2222.48,58.96,7.48,270.39,90.43143813,23351649.39
1506,9,0.013,1.04,0.017,61.17647059,34.09448306,50,1556,3.12,2225.18,59.07,7.77,269.59,86.40705128,23274526.96
1506,5,0.024,1.033,0.017,60.76470588,34.09448306,56,1562,3.19,2227.72,59.24,8.04,268.3,84.10658307,23581708.14
1506,10,0.017,1.132,0.027,41.92592593,23.61991192,44,1550,2.88,2228.47,58.88,7.24,270.15,93.80208333,23528929.08
1506,8,0.022,1.064,0.02,53.2,29.96988564,55,1561,2.78,2229.31,59.18,7.02,262.92,94.57553957,23643516.56
1506,10,0.017,1.025,0.017,60.29411765,34.09448306,45,1551,2.76,2230.96,59.05,7.39,261.57,94.77173913,25088600.17
1508,12,0.012,0.72,0.021,34.28571429,28.83191546,67,1575,2.26,2226.94,58.74,7.71,214.67,94.98672566,31908305.79
1506,16,0.017,1.05,0.019,55.26315789,31.21470086,68,1574,2.27,2223.99,58.79,7.72,215.91,95.11453744,31766806.94
1506,7,0.015,1.18,0.026,45.38461538,24.33786233,44,1550,3.11,2224.09,58.97,7.43,276.13,88.78778135,22316705
1506,15,0.023,1.01,0.017,59.41176471,34.09448306,46,1552,2.5,2228.2,59.06,7.35,236.76,94.704,27513813.6
1506,15,0.019,1.03,0.026,39.61538462,24.33786233,67,1573,2.25,2224.53,58.37,7.48,219.93,97.74666667,31060370.88
1506,9,0.011,1.066,0.024,44.41666667,25.93359266,23,1529,3.09,2227.02,59.01,8.09,271.17,87.75728155,24488571.38
1506,16,0.024,1.14,0.019,60,31.21470086,52,1558,3.11,2228.56,59.16,7.92,267.2,85.91639871,23836276.48
1506,12,0.022,1.035,0.019,54.47368421,31.21470086,46,1552,3.2,2227.69,59.12,8.14,263.34,82.29375,23800083.04
1506,18,0.022,1.07,0.026,41.15384615,24.33786233,52,1558,3.04,2225.27,59.04,7.92,262.4,86.31578947,24349138.58
1506,21,0.024,1.036,0.024,43.16666667,25.93359266,80,1586,2.31,2223.05,58.58,7.64,220.02,95.24675325,30880185.45
1506,15,0.02,1.036,0.017,60.94117647,34.09448306,53,1559,3,2226.58,58.75,8.32,259.71,86.57,25935203.84
1506,8,0.027,1.048,0.022,47.63636364,27.78715793,55,1561,2.57,2224.34,59,7.74,243.87,94.89105058,28135737.25
1506,15,0.013,1.025,0.018,56.94444444,32.58285073,45,1551,2.43,2225.69,59.07,7.66,229.98,94.64197531,29467036.49
1508,14,0.023,0.72,0.021,34.28571429,28.83191546,52,1560,2.78,2220.26,58.85,7.91,259.85,93.47122302,26532905.65
1508,15,0.014,0.753,0.024,31.375,25.93359266,39,1547,2.83,2230,58.98,7.57,257.66,91.0459364,25053222.61
1508,14,0.025,0.765,0.019,40.26315789,31.21470086,53,1561,2.88,2228.64,58.61,8.23,263.6,91.52777778,26748323
1508,12,0.018,0.72,0.022,32.72727273,27.78715793,27,1535,2.81,2226.4,59.08,7.42,260.92,92.85409253,24691647.54
1506,17,0.018,1.01,0.033,30.60606061,20.1434254,53,1559,3.08,2231.77,59.14,8.2,264.9,86.00649351,24955246.36
1508,17,0.016,0.745,0.021,35.47619048,28.83191546,57,1565,3.01,2233.22,58.94,8.08,261.76,86.96345515,25178257.12
1508,17,0.014,0.74,0.028,26.42857143,22.94811947,42,1550,2.56,2235.06,65.91,7.45,243.2,95,27318370.08
1510,7,0.021,0.982,0.027,36.37037037,23.61991192,57,1567,2.22,2240.14,65.81,6.75,211.43,95.23873874,28607193.24
1508,12,0.023,0.747,0.029,25.75862069,22.31802259,46,1554,2.81,2245,66.1,7.52,266.1,94.6975089,25233480.43
1508,12,0.015,0.734,0.03,24.46666667,21.72572514,35,1543,2.71,2244.81,65.99,7.66,256.82,94.76752768,26649456.58
