sqrt(dd),g_t,g_mn,sqrt(p),yj(mn),cs(s),log(mn_s),yj(s_h),yj(cs),asinh(mcwf),asinh(m_l),yj(mcwd_t),yj(sczfr),yj(m_f),yj(h_e)
1.177932241,1,2,1.564449741,-1.093454103,0.98568469,-0.397328654,-0.4161837325,0.5193549098,-0.5423429872,0.1608947439,0.44901483,0.1952800305,-0.03199569924,0.2739730132
0.5267872331,1,2,1.680488586,-0.7415768239,1.168165016,-0.3718525823,-0.06757920993,-0.05956614983,-0.4242512832,0.1988758621,-0.154372164,-0.1706950522,-0.02667700679,0.1247752912
1.177932241,1,2,1.301700889,-0.7502516592,0.98568469,-0.322325606,-0.9733228674,0.5874632698,-0.4004186895,0.2553062599,-0.2798295327,0.2304300901,-0.04074233989,-0.1546916332
1.580361965,1,2,1.680488586,-0.6899182872,0.2557633826,-0.1240178374,-2.616439502,1.234492689,-0.4546012957,0.2521904766,0.1606929575,0.7094815558,-0.03124995022,-0.09401357655
1.290360128,1,2,1.301700889,0.06808053114,1.168165016,-0.2021264815,-0.06757920993,0.1107047501,-0.5575083839,0.242828829,0.1898891725,-0.06531852217,-0.02651720485,0.2634155306
1.971057688,1,2,1.623506218,-0.9639638228,-0.1091972708,-0.07542716433,1.256300831,-1.319570809,-0.5898599538,0.05862395497,0.1170657292,-0.8311439601,0.005424299855,0.798903149
0.9124223677,1,3,1.227255375,1.129079693,0.8032043627,0.08064330162,-1.769405571,-0.4001079496,-0.6438854556,0.2615305297,-0.4302136593,-0.3788126455,-0.03549114557,0.03825916501
1.665847783,1,2,1.503074697,-1.028269252,1.715605996,-0.6380454233,-0.06757920993,0.4853007299,-0.579444869,0.1988758621,0.4565117857,0.2118398849,-0.0005419266416,0.285559535
1.053574616,1,2,1.623506218,-0.77638732,1.168165016,-0.3797607184,-6.017754125,0.24692147,-0.5660464482,0.1957208363,0.1534077668,0.009729733601,-0.03662498013,0.1939859472
1.393748239,1,2,1.439084465,-1.009806266,-0.8391185777,0.1007904846,-0.9733228674,1.234492689,-0.5320787113,0.2490722937,0.4340360712,0.6883807524,-0.04520007247,0.04272154365
1.290360128,1,2,1.301700889,-1.102837659,0.8032043627,-0.343981985,-0.2393732388,0.7236799897,-0.545708072,0.2490722937,0.44901483,0.3041499557,-0.05597816603,0.2061946031
1.393748239,1,2,1.372113206,-0.8380163501,0.2557633826,-0.1475589978,0.5632784819,0.04259639011,-0.5639154139,0.1735833364,0.3817707691,-0.07432109838,0.003846208539,0.4007913605
1.665847783,1,2,1.372113206,-0.6899182872,1.350645343,-0.4131399091,-1.069717462,-0.7747039294,-0.5426124005,0.2020289353,-0.2243305725,-0.5457548245,0.008553974871,0.3286360798
1.580361965,1,2,0.6136277952,-0.8647042841,-0.2916775976,-0.0164556874,-0.9733228674,-0.9790290093,-0.5354608239,0.2459517361,-0.1613967131,-0.6990686922,-0.04591121775,0.4564010574
1.580361965,1,2,1.564449741,-0.5803051255,0.98568469,-0.2875049678,-0.06757920993,0.5193549098,-0.5023515415,0.08108509568,-0.05537500989,0.2368097095,0.0007084145405,-0.01023958419
1.580361965,1,2,0.7515374362,-0.9822467054,0.2557633826,-0.1709453991,-0.1528235363,0.5193549098,-0.5332969152,0.2553062599,0.211844153,0.192850636,-0.03391571585,0.1412779901
