grade,grade_s,seq_no,grade_mn,l_temp,dd,p,mn,s,mn_s,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_factor,heat_ext
F,980,S5,B,1.184268149,1.181716159,1.564137239,-1.419140828,0.9883417018,-1.373236203,-0.6072341778,-0.4876880963,0.4915937091,-0.5529934226,0.07067931053,0.6894534546,0.07067931053,0.07067931053,0.2432880428
F,980,S10,B,1.184268149,0.5284798581,1.680152916,-0.3291007681,1.207338727,-1.266313661,-0.2224775285,-0.1333741194,-0.0495879164,-0.3075141532,-0.2235703414,-0.008261360878,-0.2235703414,-0.2235703414,0.0005329849869
F,980,S15,B,1.184268149,1.181716159,1.301440841,-0.3724644207,0.9883417018,-1.132331205,-1.174306785,-1.066964941,0.5729780162,-0.275259133,0.102244484,-0.1368702948,0.102244484,0.102244484,-0.3770384731
F,980,S25,B,1.184268149,1.585438488,1.680152916,-0.2331440048,0.3125471872,-0.5745488884,-2.368488413,-2.303281255,1.208997433,-0.3696095962,0.5103253912,0.3641936955,0.5103253912,0.5103253912,-0.3164672436
F,980,S30,B,1.184268149,1.294505161,1.301440841,0.2257567698,1.207338727,-0.8006284077,-0.2224775285,-0.1333741194,0.08431140424,-0.5912886617,-0.1514112869,0.4006072127,-0.1514112869,-0.1514112869,0.2241168479
F,980,M,B,1.184268149,1.97738915,1.623181925,-1.086472892,0.01918863611,-0.4226516502,0.8116928591,0.8977127319,-1.001896069,-0.6663155306,-0.7410825009,0.3167474331,-0.7410825009,-0.7410825009,0.9979420431
F,976,S14,C,1.22964243,0.9153534948,1.227010189,1.262756814,0.8057795411,0.05465816172,-1.89855664,-1.665082807,-0.2791361573,-0.7726672591,-0.3799012607,-0.2735988203,-0.3799012607,-0.3799012607,-0.1411755823
F,980,S19,B,1.184268149,1.67119889,1.502774448,-1.321073923,1.833246685,-1.870242587,-0.2224775285,-0.1333741194,0.4546337627,-0.6402543873,0.08056780765,0.6982680626,0.08056780765,0.08056780765,0.259240463
F,980,S23,B,1.184268149,1.056959105,1.623181925,-0.452861435,1.207338727,-1.295364389,-3.523890176,-3.523890176,0.1979567714,-0.6123693288,-0.09903033777,0.3556639021,-0.09903033777,-0.09903033777,0.1159168043
F,980,S29,B,1.184268149,1.398225354,1.438796991,-1.216223908,-0.6955501243,0.1349875337,-1.174306785,-1.066964941,1.208997433,-0.5301577646,0.4831908408,0.6736535876,0.4831908408,0.4831908408,-0.1357943723
F,980,S5,B,1.184268149,1.294505161,1.301440841,-1.431652667,0.8057795411,-1.188227529,-0.4069680298,-0.3010943526,0.7323431065,-0.5598378426,0.1768018393,0.6894534546,0.1768018393,0.1768018393,0.1336429976
F,980,S10,B,1.184268149,1.398225354,1.371839102,-0.6405815356,0.3125471872,-0.6353553483,0.3403747726,0.4317021574,0.02958498062,-0.6059528934,-0.157344411,0.6123693288,-0.157344411,-0.157344411,0.4255673521
F,980,S15,B,1.184268149,1.67119889,1.371839102,-0.2331440048,1.419870682,-1.419870682,-1.278890629,-1.180168426,-0.545556199,-0.5539252214,-0.5170150517,-0.08136991008,-0.5170150517,-0.5170150517,0.321514481
F,980,S20,B,1.184268149,1.585438488,0.613505051,-0.7449457993,-0.1589634887,-0.2567608618,-1.174306785,-1.066964941,-0.6696465402,-0.5396897437,-0.6596755728,-0.01758941068,-0.6596755728,-0.6596755728,0.5039610447
F,980,S25,B,1.184268149,1.585438488,1.564137239,-0.05305688599,0.9883417018,-1.025957201,-0.2224775285,-0.1333741194,0.4915937091,-0.4641105085,0.1097483263,0.1118933983,0.1097483263,0.1097483263,-0.2104738042
F,980,S30,B,1.184268149,1.585438488,0.7513871885,-1.151253656,0.3125471872,-0.7184751181,-0.3080729924,-0.2164717674,0.4915937091,-0.5332272951,0.06613832152,0.4343363281,0.06613832152,0.06613832152,0.02078791061
F,980,M,B,1.184268149,1.181716159,1.502774448,-0.5764358087,0.01918863611,-0.3778969839,-0.1492551191,-0.05545885189,-1.561376084,-0.9113532227,-0.8020979876,-0.01758941068,-0.8020979876,-0.8020979876,0.8477891796
F,980,S4,B,1.184268149,1.294505161,1.680152916,-0.6405815356,1.628880614,-1.642076739,-0.5112362673,-0.3965678592,0.4915937091,-0.813175626,0.0725495479,0.6806920929,0.0725495479,0.0725495479,0.2159261794
F,980,S14,B,1.184268149,1.830706637,1.227010189,0.147638449,1.419870682,-1.154880208,-0.4069680298,-0.3010943526,0.4915937091,-0.7403812715,0.07735991101,0.5139714464,0.07735991101,0.07735991101,0.07201516875
F,980,M,B,1.184268149,1.67119889,1.788659369,-1.118774783,-0.3347324521,-0.1495246019,0.3403747726,0.4317021574,-1.192014987,-0.6360076705,-0.7816784454,0.02638581697,-0.7816784454,-0.7816784454,0.8094720486
F,980,S5,B,1.184268149,1.67119889,0.9700367136,-0.490391186,-0.3347324521,-0.07629079064,-0.4069680298,-0.3010943526,-0.0234534883,-0.5938297581,-0.2126539944,0.2485068223,-0.2126539944,-0.2126539944,0.1778847045
F,980,S10,B,1.184268149,1.398225354,2.492069519,-1.046010839,2.015982281,-1.958420121,-1.174306785,-1.066964941,-1.192014987,-0.6441847069,-0.7903893045,-0.2170174199,-0.7903893045,-0.7903893045,0.5629576143
F,980,S15,B,1.184268149,1.181716159,1.371839102,-0.01172593787,0.4778069945,-0.6298214699,-0.6897914849,-0.579900507,1.442127439,-0.7622922389,0.7098774418,0.6298214699,0.7098774418,0.7098774418,-0.2526316906
F,980,S25,B,1.184268149,1.294505161,0.8676272047,-0.6405815356,0.8057795411,-1.033655926,-0.2224775285,-0.1333741194,1.020559214,-0.7067951122,0.4063890967,0.4970139028,0.4063890967,0.4063890967,-0.1887250544
F,980,M,B,1.184268149,1.752768171,1.438796991,-0.5764358087,-0.1589634887,-0.2369794122,0.8535291373,0.9333733036,-2.199328665,-0.7555391027,-0.8569866466,0.1735544821,-0.8569866466,-0.8569866466,1.18445704
F,980,S5,B,1.184268149,1.494765758,1.987983746,0.2205657443,0.01918863611,-0.02425319324,-0.8639325942,-0.7737452801,1.208997433,-0.6663155306,0.4638137329,0.6806920929,0.4638137329,0.4638137329,-0.1379463757
