grade,grade_s,seq_no,grade_mn,l_temp,dd,p,mn,s,mn_s,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_factor,heat_ext
F,980,S5,B,0.1691249884,-0.4584569194,0.1148053009,-0.8494097464,1.052246733,-0.9877729477,-0.3480004019,-0.4189505823,0.5858187102,-0.5349391212,0.1326463219,0.60393687,0.2229435504,0.2229435504,0.3858917894
F,980,S10,B,0.1691249884,-1.57561904,0.4911938197,-0.6397670392,1.229868368,-0.9640265082,-0.2830064226,-0.2840338069,0.01350766033,-0.4006189084,0.17220512,0.2887134311,-0.0679078418,-0.0679078418,0.2619706378
F,980,S15,B,0.1691249884,-0.4584569194,-0.6379717366,-0.6451424933,1.052246733,-0.9136784852,-0.4454913709,-0.6213257455,0.653149422,-0.3743217507,0.231543317,0.2203517214,0.2493179839,0.2493179839,0.02985004885
F,980,S25,B,0.1691249884,0.6587052008,0.4911938197,-0.6075143151,0.3417601911,-0.6433269514,-0.7054672881,-1.160992847,1.292791184,-0.4344745306,0.2282467505,0.4558198325,0.5888888158,0.5888888158,0.08024823558
F,980,S30,B,0.1691249884,-0.1791663894,-0.6379717366,-0.06996891215,1.229868368,-0.7647235462,-0.2830064226,-0.2840338069,0.1818344397,-0.5527330063,0.218357051,0.4710113235,0.01927431353,0.01927431353,0.3771229195
F,980,M,B,0.1691249884,2.055157851,0.3029995603,-0.77415339,-0.0134830797,-0.5560195015,0.009466484336,0.3230916826,-1.232110507,-0.5911552008,0.02715619381,0.4330325959,-0.6871575628,-0.6871575628,0.8218900477
F,976,S14,C,0.20672342,-1.017037979,-0.826165996,1.101880066,0.8746250973,-0.1993568715,-0.5754793295,-0.8237009086,-0.3231458984,-0.6568193611,0.23813645,0.1367985208,-0.249598384,-0.249598384,0.1901117793
F,980,S19,B,0.1691249884,0.9379957308,-0.07338895848,-0.8117815682,1.762733274,-1.155020125,-0.2830064226,-0.2840338069,0.5521533543,-0.578715228,0.17220512,0.6077347428,0.235398144,0.235398144,0.3955153621
F,980,S23,B,0.1691249884,-0.7377474494,0.3029995603,-0.6612688553,1.229868368,-0.9715473745,-1.176673638,-2.139139469,0.3164958632,-0.562810959,0.1689085535,0.4520219597,0.07953256795,0.07953256795,0.3194558599
F,980,S29,B,0.1691249884,0.1001241407,-0.2615832179,-0.8010306601,-0.7239696213,-0.1432566525,-0.4454913709,-0.6213257455,1.292791184,-0.5229715524,0.224950184,0.5963411245,0.5746026643,0.5746026643,0.193818157
F,980,S5,B,0.1691249884,-0.1791663894,-0.6379717366,-0.8547852004,0.8746250973,-0.9364017868,-0.3155034122,-0.3514921946,0.7878108455,-0.5388758214,0.224950184,0.60393687,0.3038984089,0.3038984089,0.3295961669
F,980,S10,B,0.1691249884,0.1001241407,-0.4497774773,-0.6988970335,0.3417601911,-0.6822392609,-0.153018464,-0.01420025597,0.114503728,-0.5602914708,0.1458325879,0.5697560152,0.01194808199,0.01194808199,0.4912250038
F,980,S15,B,0.1691249884,0.9379957308,-0.4497774773,-0.6075143151,1.407490004,-1.001825345,-0.4617398657,-0.6550549393,-0.6934648131,-0.5352540572,0.1755016865,0.2507347035,-0.4043650253,-0.4043650253,0.4312940252
F,980,S20,B,0.1691249884,0.6587052008,-1.955331552,-0.7150233956,-0.1911047151,-0.436061681,-0.4454913709,-0.6213257455,-0.8954569483,-0.5269082526,0.2216536175,0.2849155583,-0.5534538372,-0.5534538372,0.537413495
F,980,S25,B,0.1691249884,0.6587052008,0.1148053009,-0.5376334127,1.052246733,-0.8746813997,-0.2830064226,-0.2840338069,0.5858187102,-0.4886435261,0.05023215933,0.3418836497,0.2540800344,0.2540800344,0.1498295232
F,980,S30,B,0.1691249884,0.6587052008,-1.767137293,-0.784904298,0.3417601911,-0.7188626105,-0.2992549174,-0.3177630007,0.5858187102,-0.5243887645,0.231543317,0.4824049418,0.2211119925,0.2211119925,0.2756775056
F,980,M,B,0.1691249884,-0.4584569194,-0.07338895848,-0.6881461255,-0.0134830797,-0.5159082137,-0.2667579278,-0.250304613,-1.467767998,-0.7421670226,0.03704589332,0.2849155583,-0.8098719411,-0.8098719411,0.7352772455
F,980,S4,B,0.1691249884,-0.1791663894,0.4911938197,-0.6988970335,1.585111639,-1.077466244,-0.3317519071,-0.3852213884,0.5858187102,-0.6782350105,0.1425360214,0.6001389973,0.2251414198,0.2251414198,0.3713029627
F,980,S14,B,0.1691249884,1.496576791,-0.826165996,-0.3763697918,1.407490004,-0.9237639382,-0.3155034122,-0.3514921946,0.5858187102,-0.639655348,0.1392394549,0.5165857966,0.2306360935,0.2306360935,0.2982100126
F,980,M,B,0.1691249884,0.9379957308,0.8675823385,-0.779528844,-0.3687263505,-0.3672061691,-0.153018464,-0.01420025597,-1.333106575,-0.5765106759,0.06012185884,0.3039049221,-0.7659145518,-0.7659145518,0.7176570893
F,980,S5,B,0.1691249884,0.9379957308,-1.390748774,-0.6720197634,-0.3687263505,-0.3117892581,-0.3155034122,-0.3514921946,0.04717301621,-0.5544651544,0.2150604845,0.4026496138,-0.04702808191,-0.04702808191,0.3511335465
F,980,S10,B,0.1691249884,0.1001241407,3.878690489,-0.7634024819,1.94035491,-1.178371203,-0.4454913709,-0.6213257455,-1.333106575,-0.5799749721,0.23813645,0.1747772483,-0.7770870549,-0.7770870549,0.5705024035
F,980,S15,B,0.1691249884,-0.4584569194,-0.4497774773,-0.5161315966,0.5193818265,-0.6782335818,-0.3642488967,-0.4526797762,1.494783319,-0.6525677248,0.17220512,0.5773517607,0.7028117163,0.7028117163,0.1202260755
F,980,S25,B,0.1691249884,-0.1791663894,-1.578943034,-0.6988970335,0.8746250973,-0.8776811757,-0.2830064226,-0.2840338069,1.090799048,-0.6185546346,0.159018854,0.5089900511,0.5086665804,0.5086665804,0.1616534116
F,980,M,B,0.1691249884,1.217286261,-0.2615832179,-0.6881461255,-0.1911047151,-0.4229001647,0.02571497916,0.3568208765,-1.669760133,-0.6487884926,0.0205630608,0.368468759,-0.9195822584,-0.9195822584,0.9268344332
F,980,S5,B,0.1691249884,0.3794146707,1.620359376,-0.1506007226,-0.0134830797,-0.2652126639,-0.3967458864,-0.5201381639,1.292791184,-0.5911552008,0.1952810855,0.6001389973,0.5614154475,0.5614154475,0.1921206956
F,980,S10,B,0.1691249884,0.1001241407,1.243970857,-0.7365252118,0.3417601911,-0.6982619761,-0.2667579278,-0.250304613,0.4174919308,-0.594776965,0.1458325879,0.5127879238,0.1626852959,0.1626852959,0.3450593549
F,980,S15,B,0.1691249884,-0.4584569194,-0.2615832179,-0.6182652231,-0.5463479859,-0.167859226,-0.1205214743,0.05325813175,0.04717301621,-0.5826519283,0.1557222874,0.38366025,-0.04318181035,-0.04318181035,0.3306306707
F,980,S20,B,0.1691249884,0.6587052008,-0.07338895848,-0.5376334127,1.229868368,-0.9283023923,-0.2342609381,-0.1828462253,-0.154819119,-0.6450092603,0.1524257209,0.258330449,-0.1411701572,-0.1411701572,0.2628624578
F,980,M,B,0.1691249884,1.217286261,-0.6379717366,-0.8064061141,1.229868368,-1.022313224,-0.03927900015,0.2219041011,-1.501433354,-0.5612362789,0.1128669229,0.4406283414,-0.8477851893,-0.8477851893,0.9460775077
F,980,S2,C,0.1691249884,0.1001241407,1.243970857,1.483537302,1.052246733,-0.1415361933,-0.3804973916,-0.48640897,1.292791184,-0.6182396986,0.23813645,0.7406602893,0.5647122517,0.5647122517,0.3095018559
F,980,S5,B,0.1691249884,2.055157851,-1.014360255,-0.6236406771,1.585111639,-1.052898081,-0.2830064226,-0.2840338069,1.191795116,-0.6108387021,0.2645089821,0.5849475062,0.4876036648,0.4876036648,0.2026525223
F,980,S20,B,0.1691249884,0.9379957308,-0.4497774773,-0.6236406771,0.6970034619,-0.7882638584,-0.1205214743,0.05325813175,1.259125828,-0.5878483726,0.178798253,0.5963411245,0.6002444747,0.6002444747,0.1974013003
F,976,S25,C,0.20672342,0.6587052008,-1.202554515,1.166385515,-0.0134830797,0.3489914319,-0.3155034122,-0.2840338069,1.696775454,-0.701697744,0.2414330165,0.5659581424,0.7057422089,0.7057422089,0.06121865646
F,980,S29,B,0.1691249884,2.055157851,1.996747895,-0.6558934013,-1.256834528,0.4367348743,-0.2017639484,-0.1153878376,2.100759725,-0.6059571938,0.1557222874,0.919160309,0.7046432742,0.7046432742,0.2588363658
F,980,S35,B,0.1691249884,2.055157851,-0.6379717366,-0.7526515738,0.5193818265,-0.7747513681,-0.2830064226,-0.2840338069,1.966098301,-0.6428047082,0.2150604845,0.7900326352,0.7077569226,0.7077569226,0.1849560921
F,980,M,B,0.1691249884,0.6587052008,-0.07338895848,-0.8064061141,0.5193818265,-0.7966872289,-0.006782010493,0.2893624888,-1.299441219,-0.609893894,0.07001155835,0.3608730135,-0.7479652846,-0.7479652846,0.765955859
